order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD277323,ID0702373552,2019-03-26,Thompson,"[('Candle Inferno', 2), ('Olivia x460', 1)]",2085.0,79.48,-37.8066374,144.941672,5,2060.23,Autumn,True,0.8226,great phone great phone no issues,1.0
ORD416195,ID6167489410,2019-10-12,Thompson,"[('Universe Note', 2), ('Lucent 330S', 2), ('Toshika 750', 1)]",13680.0,,-37.8100834,144.9582913,25,10337.08,Spring,False,1.0282,"my digico gold, you've done it again! i purchased this phone used. it came in almost perfect condition! it was unlocked yet, i am with t-mobile & it opened to them so it was a win win for me!!",1.0
ORD341866,ID0278912960,2019-01-01,Bakers,"[('Candle Inferno', 2), ('iAssist Line', 1), ('Toshika 750', 1)]",7405.0,76.04,-37.8106985,144.9831396,10,6740.54,Summer,False,1.0663,easy to read books this way. enjoyable at night in the bedroom or outside in the afternoon.,1.0
ORD189703,ID6167191736,2019-11-07,Nickolson,"[('Olivia x460', 2), ('Toshika 750', 1)]",6770.0,57.79,-37.8155869,144.96661,10,6150.79,Spring,False,0.4231,misleading not unlocked phone this phone was not unlocked as advertised. i couldn't use it with the sprint network.,0.0
ORD293267,ID0741702116,2019-06-07,Nickolson,"[('iStream', 1), ('Universe Note', 2)]",7050.0,73.64,-37.816059,144.9721774,10,6418.64,Winter,True,0.3647,i like the size of the device as well as the expandable storage,
ORD480815,ID0589742849,2019-08-10,Thompson,"[('iStream', 2), ('Candle Inferno', 2), ('Alcon 10', 1), ('Universe Note', 2)]",17010.0,79.18,-37.8210279,144.9548593,5,16238.68,Winter,True,1.1551,good product good product,1.0
ORD006380,ID0294621630,2019-03-03,Nickolson,"[('Toshika 750', 2), ('pearTV', 1)]",14950.0,48.73,-37.8187092,144.9639984,25,11261.23,Autumn,False,0.4884,decieved one week after start using it the viewer stop working. please send me a duplicate of the buyng ticket so that i can try using the garantee in brazil.,0.0
ORD335243,ID0207076045,2019-09-19,Nickolson,"[('Universe Note', 2), ('Olivia x460', 1), ('pearTV', 2), ('Thunder line', 1)]",22925.0,90.37,-37.8332672,144.9912618,5,21869.12,Spring,False,2.5123,"this model is unlocked by manufacturer. quality of the camera is really good, but the speaker is located at the bottom of the device, it's not at upper right corner which is closed to our ear ! it was unlocked by the manufacturer but not compatible to all mobile carriers.",1.0
ORD296202,ID0581715888,2019-03-10,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('iAssist Line', 1)]",13355.0,82.56,-37.8051279,144.9305831,10,12102.06,Autumn,True,1.6756,"five stars works great! received my order well before the expected delivery date, worked exactly as hoped right off the bat.",1.0
ORD257480,ID3775020762,2019-10-05,Bakers,"[('Olivia x460', 2), ('Lucent 330S', 2)]",4910.0,87.95,-37.8073967,144.98411299999995,15,4261.45,Spring,True,1.0198,it kept turning off it didn't work,0.0
